,glycolysis,ppp,tca,oxphos,lactate
cmrglc,0.2206069412933831,0.42016087600547497,0.3124195151219695,0.16320420752629702,0.5270119813248832
cmro2,0.036249039056494105,0.5390353064706653,0.28867005418783864,-0.012272701704385651,0.3809016931355821
cbf,0.17740704629403933,0.26212926330789565,0.1522097013106332,0.12181801136257102,0.37509159432246447
gi,0.49036637728985805,0.030890443065269158,0.3019010743817149,0.4264431027693923,0.5298353739710873
meg_delta,0.030846942793392458,-0.6498336864605404,-0.4766517915736973,0.06144450902818142,-0.2681403633772711
meg_theta,0.5681188007425045,-0.31157875986724914,0.164826280164251,0.5361402883768023,0.40040950255939095
meg_alpha,-0.4137610860067875,0.5187523672022949,0.09320027000168749,-0.41854330339564616,-0.1454637841486509
meg_beta,0.6928532053325334,0.29582828642679015,0.7418560741004632,0.654137963362271,0.7701770011062569
meg_lowgamma,0.445653160332252,-0.4196559353495959,-0.018733429583934896,0.4478101738135863,0.20525640785254906
meg_highgamma,-0.03805805036281476,-0.6236527103294395,-0.47899405621285124,-0.0013635085219282621,-0.3323945774661091
Layer 1,0.27562428515178217,-0.586954980968631,-0.163081581759886,0.28554515965724786,-0.065398346239664
Layer 2,0.03548253426583916,-0.4700243751523447,-0.35119831998949985,-0.011323008268801678,-0.29337670860442877
Layer 3,0.4434353964712279,0.45520803255020337,0.5315429471434197,0.3885054281589259,0.6633802711266945
Layer 4,0.5570327939549621,0.6365471659197869,0.789397746235914,0.5637942737142106,0.8735012093825586
Layer 5,0.727563422271389,-0.06648041550259688,0.39415765098531863,0.691135882099263,0.556953480959256
Layer 6,-0.06321039506496914,-0.09600903755648471,-0.16221851386571165,-0.08715335720848255,-0.056096413102581885
Cell Ex,0.4632763954774717,-0.13567866049162808,0.10807923799523746,0.42118763242270263,0.28790504940655876
Cell In,0.4160382877392983,0.3338413365083531,0.304772092325577,0.37343108394427466,0.49564978531115816
Cell Ast,0.27606753792211197,-0.5022318264489153,-0.13544897155607222,0.20413627585172409,-0.08454784092400579
Cell End,0.3822674516715729,0.2364926030787692,0.23738885868036672,0.32787692423077647,0.5596849980312377
Cell Mic,0.3671252320327002,-0.18150413440083998,0.11647479046744041,0.4718373239832748,0.23088725554534714
Cell OPC,-0.23267057919111994,-0.38893349333433336,-0.5389859936624604,-0.2442969643560272,-0.4190675566722291
Cell Oli,0.13302889393058703,0.10924868280426751,0.15972587328670804,0.06568953555959724,0.2233675210470065
sc_degree,-0.10639237195915674,-0.2714469227516415,-0.29913368804702095,-0.06702699827428567,-0.17858175153922518
fc_strength,-0.07181763636022724,0.524032775204845,0.28372414827592674,-0.08168432302701892,0.22487971799823747
