,glycolysis,ppp,tca,oxphos,lactate
cmrglc,0.6345402045161338,0.02142642878569286,0.33885500338855,0.7597644490870061,0.004890815266299457
cmro2,0.9709772824370456,0.0023435156484351563,0.40405442214399245,0.947804379225943,0.12773112932609176
cbf,0.559647982570164,0.280971902809719,0.641406447590535,0.6900408860212879,0.0492597799043625
gi,0.0473437504734375,0.9510507282605073,0.5558565765045117,0.19726288240741144,0.04179269573042696
meg_delta,0.947804379225943,0.004890815266299457,0.559647982570164,0.9337561819039335,0.8240155365906707
meg_theta,0.16010303731531608,0.641406447590535,0.8536529524617632,0.19720250197202502,0.5738208230459005
meg_alpha,0.5138570649977257,0.3023736087929669,0.947804379225943,0.5061993800619937,0.8585505085855051
meg_beta,0.03249675032496751,0.6511989250513152,0.03709306488705968,0.0695876358310115,0.004890815266299457
meg_lowgamma,0.4251624017926076,0.5061993800619937,0.9972002799720028,0.4069508303406948,0.7895043828950439
meg_highgamma,0.9844781650867171,0.0023435156484351563,0.506833374633551,0.9778493695345913,0.6921862161609926
Layer 1,0.5369254741192548,0.000961442317306731,0.8536529524617632,0.5061993800619937,0.947804379225943
Layer 2,0.947804379225943,0.025859483017215516,0.30144044419087507,0.9778493695345913,0.5061993800619937
Layer 3,0.059636893453511794,0.004890815266299457,0.013940913600947596,0.2540562270303582,0.000961442317306731
Layer 4,0.12050077043577694,0.000961442317306731,0.000961442317306731,0.12155034496550345,0.000961442317306731
Layer 5,0.000961442317306731,0.8585505085855051,0.23774218322848564,0.000961442317306731,0.000961442317306731
Layer 6,0.8615129478043188,0.5910801324930798,0.513162969417344,0.84991500849915,0.8585505085855051
Cell Ex,0.000961442317306731,0.6511989250513152,0.8536529524617632,0.005728593807285938,0.35110125351101257
Cell In,0.000961442317306731,0.0017855357321410717,0.0029408823823500003,0.000961442317306731,0.000961442317306731
Cell Ast,0.4251624017926076,0.003289144769733553,0.8536529524617632,0.5738208230459005,0.9403664896668228
Cell End,0.013940913600947596,0.40405442214399245,0.44370562943705627,0.0695876358310115,0.000961442317306731
Cell Mic,0.18662906436629068,0.6345402045161338,0.8536529524617632,0.003289144769733553,0.6345402045161338
Cell OPC,0.6900408860212879,0.17381982731959364,0.09143822459859277,0.6511989250513152,0.3259108051459005
Cell Oli,0.5406993547220621,0.641406447590535,0.5061993800619937,0.848894702366498,0.2540562270303582
sc_degree,0.8536529524617632,0.37228420015141345,0.4505501830769304,0.9331656120102275,0.7469683139212961
fc_strength,0.8536529524617632,0.0152762501527625,0.6511989250513152,0.84991500849915,0.7746593761676464
