,glycolysis,ppp,tca,oxphos,lactate
pan_gaba,-0.17079106744417152,0.4116908855680348,0.14926143288395552,-0.08814223838898992,0.046254101588134915
parvalbumin,0.23765154782217385,0.7246684041775261,0.6214806967543547,0.28143832148950926,0.654780154875968
somatostatin,0.1729276432977706,-0.6708115050719067,-0.3537464609153807,0.19442952768454802,-0.21514484465527908
calbindin,-0.26850055312845705,-0.5633575834848967,-0.5474301089381809,-0.28076762979768616,-0.6488721804511277
vip,-0.25500890630566436,-0.2083526147038419,-0.33289389308683176,-0.21206195038718992,-0.3240562128513303
l1_exc,-0.25123188269926683,-0.4141150882193013,-0.5069412933830836,-0.28567528547053417,-0.4306571916074475
l24_exc,-0.3640924005775036,0.4765722910768192,-0.06664447902799392,-0.36398027487671797,-0.041773011081319256
l4_exc,-0.21760242251514067,0.5743324020775129,0.1828734554590966,-0.2535023343895899,0.09740348377177357
l5_exc,0.5723265145407158,-0.06520690754317214,0.3435233345208407,0.5975664222901393,0.47241820261376627
l6_exc,0.14796898730617064,-0.21931787073669207,-0.16858642866517917,0.07664429152682203,-0.0004710029437683985
betz,0.6308278176738604,0.08794667466671666,0.4949609060056625,0.5973618585116156,0.6891358070987942
