,glycolysis,ppp,tca,oxphos,lactate
pan_gaba,0.6100159214847746,0.0036663000366630007,0.6473255113513039,0.7915697791922935,0.8441655834416558
parvalbumin,0.6967279462529937,0.0036663000366630007,0.039412725394127254,0.6100159214847746,0.0084991500849915
somatostatin,0.74548100745481,0.0036663000366630007,0.6100159214847746,0.7213232165155576,0.7895297426779062
calbindin,0.6100159214847746,0.0054994500549945015,0.06901809819018098,0.5742759057427591,0.0079436500794365
vip,0.09499050094990501,0.24686420246864205,0.015031830150318302,0.23076538499996155,0.029114735585265002
l1_exc,0.5174805100135148,0.02715353464653535,0.01217735369320211,0.3402073585744874,0.06888784805729954
l24_exc,0.1257999200079992,0.0036663000366630007,0.8441655834416558,0.1257999200079992,0.8585367878306509
l4_exc,0.6100159214847746,0.009165750091657501,0.8240009332400093,0.5742759057427591,0.8819488421528218
l5_exc,0.011844969349218925,0.8441655834416558,0.408059194080592,0.0084991500849915,0.07175472928897586
l6_exc,0.6100159214847746,0.2759545474024026,0.6178632136786322,0.74548100745481,0.9992000799920008
betz,0.0036663000366630007,0.8441655834416558,0.2221777822217778,0.007561743825617439,0.0036663000366630007
